osm_type,osm_id,name,latitude,longitude
node,13576336800,Fire station (unnamed),6.026389,80.795217
way,495353942,Fire brigade,6.035303,80.218083
way,249359901,Fire station (unnamed),6.288013,81.118538
node,1804658556,Balai Bomba & Penyelamat Langkawi,6.321197,99.848923
way,1356115546,Fire station (unnamed),6.328253,99.851127
way,496339085,Fire & Rescue Kalutara,6.585859,79.961536
node,12386989002,Kulhudhuffushi Fire Station,6.61722,73.067534
node,3885891657,Fire & Rescue,6.678661,80.403148
way,385287169,Fire station (unnamed),6.68558,80.401523
node,1153959887,Fire Brigade Horana,6.714786,80.062129
way,1548948969,Moratuwa Fire Station,6.777478,79.884046
node,14088419297,Moratuwa Fire Station,6.777488,79.884042
node,1825441924,Dehiwala Mount-Lavinia Fire Station,6.840591,79.87838
node,1934839393,Kottawa Cemetery,6.844843,79.966002
node,625839629,Colombo Fire & Rescue,6.923068,79.862267
way,949700674,Fire station (unnamed),6.924072,79.89023
node,3592963444,Colombo Fire And Rescue (Sub Unit),6.947741,79.870632
node,14080337540,colombo fire station,6.948177,79.87122
node,4693135745,Fire Brigade (Hettiyawatte Sub Unit),6.950175,79.857492
way,479994759,SLPA Fire Brgade,6.95311,79.857699
node,5571136341,Fire & Rescue Unit,6.966848,80.769125
way,376359989,Fire Brigade Gampaha,7.094782,79.995077
node,11343493252,Airport fire and rescue,7.179596,79.887318
way,562749160,Fire station (unnamed),7.281601,80.622713
node,1837389472,Fire Brigade Kandy,7.28161,80.622721
node,6167241087,Fire station (unnamed),7.326338,80.796841
node,12599872146,อาคารป้องกันและบรรเทาสาธารณภัย ย่านตาขาว,7.376952,99.673775
way,621857273,สถานีดับเพลิง,7.554847,99.609829
way,594752261,Fire station (unnamed),7.577029,79.798752
node,12949812319,fire station - chilaw,7.577038,79.798718
node,11000981397,Fire station (unnamed),7.770212,98.318069
way,178423471,Huai Yot Fire Station,7.786986,99.634829
node,4704255992,Fire station (unnamed),7.817278,98.310736
way,1181095675,Fire station (unnamed),7.8209,98.400817
way,615085563,Fire station (unnamed),7.863125,98.371619
way,1081933791,Fire station (unnamed),7.874067,98.391256
way,1185931890,สถานีป้องกันและบรรเทาสาธารณะภัย เทศบาลตำบลวิชิต (ศูนย์สุรกุล),7.890618,98.373107
node,683890538,Fire station (unnamed),7.898065,98.304045
node,4013110748,Fire station (unnamed),7.941234,81.002624
node,11148514630,Fire station (unnamed),8.066404,98.30284
node,13677532948,Fire station (unnamed),8.096086,98.990607
