cluster_id,observation_count,active_days,first_detection,last_detection,duration_days,mean_bright_ti4,max_bright_ti4,mean_bright_ti5,max_bright_ti5,mean_frp,max_frp,mean_confidence,persistence_score,persistence_category,bt_diff_mean,bt_diff_max,frp_mean_to_max_ratio,frp_per_observation,detection_density,active_day_ratio,is_multi_day,is_persistent_candidate,persistence_category_code,anomaly_score,anomaly_flag,abnormality_level,anomaly_characterization,explanation,contributing_factors
0,1,1,2026-08-01,2026-08-01,1,329.54,329.54,290.5,290.5,3.14,3.14,2.0,0.0333,isolated,39.04,39.04,1.0,3.14,1.0,1.0,0,0,0,-0.2096,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
1,8,2,2026-08-01,2026-08-02,2,313.59,333.41,279.761,291.28,2.259,5.27,2.0,0.0667,short_lived_repeated,33.829,42.13,0.4287,0.2824,4.0,1.0,1,0,1,-0.0453,0,ELEVATED,STATISTICAL_ANOMALY,Elevated abnormality primarily associated with unusual multi-variate statistical signature.,multivariate_combination
2,3,1,2026-08-01,2026-08-01,1,337.657,341.86,285.783,286.39,6.747,8.63,2.0,0.0333,isolated,51.874,55.47,0.7818,2.249,3.0,1.0,0,0,0,-0.1037,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
3,1,1,2026-08-01,2026-08-01,1,345.85,345.85,294.85,294.85,10.2,10.2,2.0,0.0333,isolated,51.0,51.0,1.0,10.2,1.0,1.0,0,0,0,-0.1611,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
4,1,1,2026-08-01,2026-08-01,1,335.15,335.15,296.46,296.46,4.34,4.34,2.0,0.0333,isolated,38.69,38.69,1.0,4.34,1.0,1.0,0,0,0,-0.2163,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
5,1,1,2026-08-01,2026-08-01,1,331.65,331.65,296.49,296.49,2.67,2.67,2.0,0.0333,isolated,35.16,35.16,1.0,2.67,1.0,1.0,0,0,0,-0.216,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
6,1,1,2026-08-01,2026-08-01,1,331.79,331.79,291.96,291.96,2.77,2.77,2.0,0.0333,isolated,39.83,39.83,1.0,2.77,1.0,1.0,0,0,0,-0.2129,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
7,1,1,2026-08-01,2026-08-01,1,331.46,331.46,297.29,297.29,2.48,2.48,2.0,0.0333,isolated,34.17,34.17,1.0,2.48,1.0,1.0,0,0,0,-0.2174,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
8,1,1,2026-08-01,2026-08-01,1,332.56,332.56,297.63,297.63,1.68,1.68,2.0,0.0333,isolated,34.93,34.93,1.0,1.68,1.0,1.0,0,0,0,-0.2082,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
9,1,1,2026-08-01,2026-08-01,1,341.89,341.89,298.98,298.98,10.81,10.81,2.0,0.0333,isolated,42.91,42.91,1.0,10.81,1.0,1.0,0,0,0,-0.15,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
10,1,1,2026-08-01,2026-08-01,1,330.71,330.71,295.03,295.03,1.56,1.56,2.0,0.0333,isolated,35.68,35.68,1.0,1.56,1.0,1.0,0,0,0,-0.2042,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
11,1,1,2026-08-01,2026-08-01,1,330.49,330.49,292.6,292.6,2.37,2.37,2.0,0.0333,isolated,37.89,37.89,1.0,2.37,1.0,1.0,0,0,0,-0.2154,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
12,1,1,2026-08-01,2026-08-01,1,337.74,337.74,296.45,296.45,3.22,3.22,2.0,0.0333,isolated,41.29,41.29,1.0,3.22,1.0,1.0,0,0,0,-0.213,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
13,2,1,2026-08-01,2026-08-01,1,333.69,335.48,293.655,297.07,4.515,5.38,2.0,0.0333,isolated,40.035,38.41,0.8392,2.2575,2.0,1.0,0,0,0,-0.1725,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
14,1,1,2026-08-01,2026-08-01,1,333.55,333.55,294.79,294.79,4.81,4.81,2.0,0.0333,isolated,38.76,38.76,1.0,4.81,1.0,1.0,0,0,0,-0.2144,0,NORMAL,NORMAL_THERMAL_ACTIVITY,Thermal activity falls within normal statistical bounds.,none
