cluster_id,satellite_image_available,predicted_landcover_class,prediction_confidence,image_date,cloud_cover,image_source,observation_status,satellite_item_id
0,False,UNKNOWN,,2026-08-01,84.255677,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 84.3%, threshold: 30.0%)",S2C_MSIL2A_20260730T044701_R076_T45QUB_20260730T093008
1,False,UNKNOWN,,2026-08-01,94.572735,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 94.6%, threshold: 30.0%)",S2C_MSIL2A_20260730T044701_R076_T45QVG_20260730T093008
2,True,SeaLake,0.9625,2026-07-31T05:06:49.024000Z,2.178389,Sentinel-2_L2A,Satellite CNN prediction: SeaLake (confidence: 0.96),S2B_MSIL2A_20260731T050649_R019_T43PHK_20260731T085614
3,False,UNKNOWN,,2026-08-01,39.106017,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 39.1%, threshold: 30.0%)",S2B_MSIL2A_20260728T045659_R119_T44PKR_20260728T104345
4,True,HerbaceousVegetation,0.432,2026-07-31T05:06:49.024000Z,5.154785,Sentinel-2_L2A,Satellite CNN prediction: HerbaceousVegetation (confidence: 0.43),S2B_MSIL2A_20260731T050649_R019_T44PKR_20260731T085614
5,True,SeaLake,0.8518,2026-07-28T04:56:59.024000Z,15.987378,Sentinel-2_L2A,Satellite CNN prediction: SeaLake (confidence: 0.85),S2B_MSIL2A_20260728T045659_R119_T44PKS_20260728T104345
6,True,SeaLake,0.996,2026-07-31T05:06:49.024000Z,12.930833,Sentinel-2_L2A,Satellite CNN prediction: SeaLake (confidence: 1.00),S2B_MSIL2A_20260731T050649_R019_T44PKS_20260731T085614
7,False,UNKNOWN,,2026-08-01,52.634299,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 52.6%, threshold: 30.0%)",S2B_MSIL2A_20260728T045659_R119_T44PLT_20260728T104345
8,False,UNKNOWN,,2026-08-01,39.894217,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 39.9%, threshold: 30.0%)",S2B_MSIL2A_20260731T050649_R019_T44PKT_20260731T085614
9,False,UNKNOWN,,2026-08-01,52.634299,Sentinel-2_L2A,"Sentinel-2 observation available but obscured by cloud cover (best: 52.6%, threshold: 30.0%)",S2B_MSIL2A_20260728T045659_R119_T44PLT_20260728T104345
