alert_id,cluster_id,severity,status,evidence_confidence,suppressed,suppression_reason,risk_score,risk_level,classification_label,classification_score,false_alarm_indicator,detection_reliability,observation_count,active_days,persistence_category,max_frp,max_bright_ti4,bt_diff_max,movement_direction,movement_bearing_degrees,movement_rate_km_per_day,movement_pattern,latitude,longitude,nearest_station_name,station_distance_km,station_available,reasons,alert_rationale,created_at,updated_at,is_decision_support_only
TAL-00000,0,LOW,ACTIVE,LOW,True,High false-alarm concern with weak evidence confidence: thermal anomaly retained for monitoring but suppressed as an operator alert.,13.0,LOW,Unknown / Insufficient Evidence,0.0,HIGH,LOW,1,1,isolated,3.14,329.54,39.04,,,0.0,insufficient_evidence,19.49014,85.20157,Chatrapur Fire Station,26.22,True,"High false-alarm concern; Single observation (no temporal recurrence); Verified fire station nearby: Chatrapur Fire Station (26.2 km); Suppressed for monitoring (high false-alarm concern, weak evidence)","Decision-support thermal anomaly alert. High false-alarm concern; Single observation (no temporal recurrence); Verified fire station nearby: Chatrapur Fire Station (26.2 km); Suppressed for monitoring (high false-alarm concern, weak evidence). Does not constitute a confirmed fire declaration.",2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
TAL-00001,1,MEDIUM,ACTIVE,HIGH,False,,56.0,MEDIUM,Agricultural-context thermal event,0.75,LOW,HIGH,8,2,short_lived_repeated,5.27,333.41,42.13,,,0.046,stationary,23.80323,86.32973,,,False,Risk score 56/100 (MEDIUM risk); Low false-alarm concern; High evidence reliability; Recurring thermal activity (2 active days); Agricultural-context event,Decision-support thermal anomaly alert. Risk score 56/100 (MEDIUM risk); Low false-alarm concern; High evidence reliability; Recurring thermal activity (2 active days); Agricultural-context event. Does not constitute a confirmed fire declaration.,2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
TAL-00002,2,MEDIUM,ACTIVE,HIGH,False,,40.0,MEDIUM,Industrial-context thermal event,0.45,LOW,HIGH,3,1,isolated,8.63,341.86,55.47,,,0.0,insufficient_evidence,8.75679,78.18329,Fire And Rescue Service Station,6.01,True,Risk score 40/100 (MEDIUM risk); Low false-alarm concern; High evidence reliability; Peak thermal intensity / high spectral contrast; Industrial context detected (score 0.45); Verified fire station nearby: Fire And Rescue Service Station (6.0 km),Decision-support thermal anomaly alert. Risk score 40/100 (MEDIUM risk); Low false-alarm concern; High evidence reliability; Peak thermal intensity / high spectral contrast; Industrial context detected (score 0.45); Verified fire station nearby: Fire And Rescue Service Station (6.0 km). Does not constitute a confirmed fire declaration.,2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
TAL-00003,3,MEDIUM,ACTIVE,MODERATE,False,,39.1,MEDIUM,Agricultural-context thermal event,0.55,MEDIUM,MEDIUM,1,1,isolated,10.2,345.85,51.0,,,0.0,insufficient_evidence,9.39618,78.85063,,,False,Risk score 39/100 (MEDIUM risk); Single observation (no temporal recurrence); Elevated thermal power (FRP 10.2 MW); Peak thermal intensity / high spectral contrast; Agricultural-context event,Decision-support thermal anomaly alert. Risk score 39/100 (MEDIUM risk); Single observation (no temporal recurrence); Elevated thermal power (FRP 10.2 MW); Peak thermal intensity / high spectral contrast; Agricultural-context event. Does not constitute a confirmed fire declaration.,2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
TAL-00004,4,LOW,ACTIVE,LOW,True,High false-alarm concern with weak evidence confidence: thermal anomaly retained for monitoring but suppressed as an operator alert.,13.0,LOW,Unknown / Insufficient Evidence,0.0,HIGH,LOW,1,1,isolated,4.34,335.15,38.69,,,0.0,insufficient_evidence,9.68989,78.37985,Madurai Airport Fire Station,35.39,True,"High false-alarm concern; Single observation (no temporal recurrence); Verified fire station nearby: Madurai Airport Fire Station (35.4 km); Suppressed for monitoring (high false-alarm concern, weak evidence)","Decision-support thermal anomaly alert. High false-alarm concern; Single observation (no temporal recurrence); Verified fire station nearby: Madurai Airport Fire Station (35.4 km); Suppressed for monitoring (high false-alarm concern, weak evidence). Does not constitute a confirmed fire declaration.",2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
TAL-00005,5,LOW,ACTIVE,LOW,True,High false-alarm concern with weak evidence confidence: thermal anomaly retained for monitoring but suppressed as an operator alert.,13.0,LOW,Unknown / Insufficient Evidence,0.0,HIGH,LOW,1,1,isolated,2.67,331.65,35.16,,,0.0,insufficient_evidence,10.26295,79.14907,Fire station (unnamed),46.42,True,"High false-alarm concern; Single observation (no temporal recurrence); Verified fire station nearby: Fire station (unnamed) (46.4 km); Suppressed for monitoring (high false-alarm concern, weak evidence)","Decision-support thermal anomaly alert. High false-alarm concern; Single observation (no temporal recurrence); Verified fire station nearby: Fire station (unnamed) (46.4 km); Suppressed for monitoring (high false-alarm concern, weak evidence). Does not constitute a confirmed fire declaration.",2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
TAL-00006,6,LOW,ACTIVE,LOW,True,High false-alarm concern with weak evidence confidence: thermal anomaly retained for monitoring but suppressed as an operator alert.,13.0,LOW,Unknown / Insufficient Evidence,0.0,HIGH,LOW,1,1,isolated,2.77,331.79,39.83,,,0.0,insufficient_evidence,10.38009,78.3605,Fire station (unnamed),23.21,True,"High false-alarm concern; Single observation (no temporal recurrence); Verified fire station nearby: Fire station (unnamed) (23.2 km); Suppressed for monitoring (high false-alarm concern, weak evidence)","Decision-support thermal anomaly alert. High false-alarm concern; Single observation (no temporal recurrence); Verified fire station nearby: Fire station (unnamed) (23.2 km); Suppressed for monitoring (high false-alarm concern, weak evidence). Does not constitute a confirmed fire declaration.",2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
TAL-00007,7,LOW,ACTIVE,LOW,True,High false-alarm concern with weak evidence confidence: thermal anomaly retained for monitoring but suppressed as an operator alert.,9.0,LOW,Unknown / Insufficient Evidence,0.0,HIGH,LOW,1,1,isolated,2.48,331.46,34.17,,,0.0,insufficient_evidence,10.96096,79.73511,Fire station (unnamed),24.35,True,"High false-alarm concern; Single observation (no temporal recurrence); Verified fire station nearby: Fire station (unnamed) (24.4 km); Suppressed for monitoring (high false-alarm concern, weak evidence)","Decision-support thermal anomaly alert. High false-alarm concern; Single observation (no temporal recurrence); Verified fire station nearby: Fire station (unnamed) (24.4 km); Suppressed for monitoring (high false-alarm concern, weak evidence). Does not constitute a confirmed fire declaration.",2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
TAL-00008,8,LOW,ACTIVE,LOW,True,High false-alarm concern with weak evidence confidence: thermal anomaly retained for monitoring but suppressed as an operator alert.,6.0,LOW,Unknown / Insufficient Evidence,0.0,HIGH,LOW,1,1,isolated,1.68,332.56,34.93,,,0.0,insufficient_evidence,11.02383,78.76881,BHEL Fire Station,28.55,True,"High false-alarm concern; Single observation (no temporal recurrence); Verified fire station nearby: BHEL Fire Station (28.6 km); Suppressed for monitoring (high false-alarm concern, weak evidence)","Decision-support thermal anomaly alert. High false-alarm concern; Single observation (no temporal recurrence); Verified fire station nearby: BHEL Fire Station (28.6 km); Suppressed for monitoring (high false-alarm concern, weak evidence). Does not constitute a confirmed fire declaration.",2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
TAL-00009,9,MEDIUM,ACTIVE,MODERATE,False,,32.3,MEDIUM,Agricultural-context thermal event,0.55,MEDIUM,MEDIUM,1,1,isolated,10.81,341.89,42.91,,,0.0,insufficient_evidence,11.05059,79.3532,Fire station (unnamed),40.84,True,Risk score 32/100 (MEDIUM risk); Single observation (no temporal recurrence); Elevated thermal power (FRP 10.8 MW); Peak thermal intensity / high spectral contrast; Agricultural-context event; Verified fire station nearby: Fire station (unnamed) (40.8 km),Decision-support thermal anomaly alert. Risk score 32/100 (MEDIUM risk); Single observation (no temporal recurrence); Elevated thermal power (FRP 10.8 MW); Peak thermal intensity / high spectral contrast; Agricultural-context event; Verified fire station nearby: Fire station (unnamed) (40.8 km). Does not constitute a confirmed fire declaration.,2026-09-03T17:19:59+00:00,2026-09-03T17:19:59+00:00,True
