cluster_id,observation_count,active_days,first_detection,last_detection,time_span_days,start_latitude,start_longitude,end_latitude,end_longitude,total_movement_distance_km,movement_rate_km_per_day,movement_bearing_degrees,movement_direction,movement_confidence,movement_status,direction,movement_pattern,direction_confidence,direction_confidence_score,direction_available
0,1,1,2026-08-01T06:57:00+00:00,2026-08-01T06:57:00+00:00,0.0,19.49014,85.20157,19.49014,85.20157,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
1,8,2,2026-08-01T06:59:00+00:00,2026-08-02T20:46:00+00:00,1.574,23.80371,86.3297,23.80306,86.32974,0.072,0.046,176.36,S,LOW,STATIONARY,,stationary,INSUFFICIENT,0,False
2,3,1,2026-08-01T07:50:00+00:00,2026-08-01T07:50:00+00:00,0.0,8.75679,78.18329,8.75679,78.18329,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
3,1,1,2026-08-01T07:50:00+00:00,2026-08-01T07:50:00+00:00,0.0,9.39618,78.85063,9.39618,78.85063,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
4,1,1,2026-08-01T07:50:00+00:00,2026-08-01T07:50:00+00:00,0.0,9.68989,78.37985,9.68989,78.37985,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
5,1,1,2026-08-01T07:50:00+00:00,2026-08-01T07:50:00+00:00,0.0,10.26295,79.14907,10.26295,79.14907,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
6,1,1,2026-08-01T07:50:00+00:00,2026-08-01T07:50:00+00:00,0.0,10.38009,78.3605,10.38009,78.3605,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
7,1,1,2026-08-01T07:50:00+00:00,2026-08-01T07:50:00+00:00,0.0,10.96096,79.73511,10.96096,79.73511,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
8,1,1,2026-08-01T07:50:00+00:00,2026-08-01T07:50:00+00:00,0.0,11.02383,78.76881,11.02383,78.76881,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
9,1,1,2026-08-01T07:50:00+00:00,2026-08-01T07:50:00+00:00,0.0,11.05059,79.3532,11.05059,79.3532,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
10,1,1,2026-08-01T07:50:00+00:00,2026-08-01T07:50:00+00:00,0.0,11.15094,78.02576,11.15094,78.02576,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
11,1,1,2026-08-01T07:50:00+00:00,2026-08-01T07:50:00+00:00,0.0,11.155,77.7301,11.155,77.7301,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
12,1,1,2026-08-01T07:50:00+00:00,2026-08-01T07:50:00+00:00,0.0,11.27329,78.15312,11.27329,78.15312,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
13,2,1,2026-08-01T07:50:00+00:00,2026-08-01T08:37:00+00:00,0.033,11.29058,79.78271,11.29058,79.78271,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
14,1,1,2026-08-01T07:50:00+00:00,2026-08-01T07:50:00+00:00,0.0,11.72811,78.7383,11.72811,78.7383,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
15,1,1,2026-08-01T07:50:00+00:00,2026-08-01T07:50:00+00:00,0.0,11.87308,79.73968,11.87308,79.73968,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
16,1,1,2026-08-01T07:50:00+00:00,2026-08-01T07:50:00+00:00,0.0,11.87655,79.37332,11.87655,79.37332,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
17,1,1,2026-08-01T07:50:00+00:00,2026-08-01T07:50:00+00:00,0.0,11.93526,79.55087,11.93526,79.55087,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
18,1,1,2026-08-01T07:50:00+00:00,2026-08-01T07:50:00+00:00,0.0,12.41949,80.10271,12.41949,80.10271,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
19,1,1,2026-08-01T07:50:00+00:00,2026-08-01T07:50:00+00:00,0.0,12.57915,79.24837,12.57915,79.24837,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
20,6,2,2026-08-01T07:52:00+00:00,2026-08-02T20:02:00+00:00,1.507,20.96636,86.01635,20.96879,86.01051,0.664,0.441,294.04,NW,LOW,MOVING,NW,directional,PRELIMINARY,33,True
21,1,1,2026-08-01T07:52:00+00:00,2026-08-01T07:52:00+00:00,0.0,21.29788,81.60934,21.29788,81.60934,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
22,16,2,2026-08-01T07:52:00+00:00,2026-08-02T08:20:00+00:00,1.019,21.75017,83.84378,21.74968,83.84399,0.059,0.057,158.15,S,LOW,STATIONARY,,stationary,INSUFFICIENT,0,False
23,1,1,2026-08-01T07:52:00+00:00,2026-08-01T07:52:00+00:00,0.0,21.91989,83.35123,21.91989,83.35123,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
24,8,3,2026-08-01T07:52:00+00:00,2026-08-04T07:41:00+00:00,2.992,22.35779,82.30262,22.358,82.30145,0.123,0.041,281.15,W,LOW,STATIONARY,,stationary,INSUFFICIENT,0,False
25,3,2,2026-08-01T07:52:00+00:00,2026-08-03T19:45:00+00:00,2.495,22.78672,86.20246,22.78971,86.19771,0.59,0.236,304.25,NW,LOW,MOVING,NW,directional,PRELIMINARY,33,True
26,2,1,2026-08-01T07:52:00+00:00,2026-08-01T20:19:00+00:00,0.519,23.78686,85.55264,23.78686,85.55264,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
27,1,1,2026-08-01T07:52:00+00:00,2026-08-01T07:52:00+00:00,0.0,24.14243,82.71046,24.14243,82.71046,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
28,1,1,2026-08-01T07:52:00+00:00,2026-08-01T07:52:00+00:00,0.0,24.16346,82.63028,24.16346,82.63028,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
29,1,1,2026-08-01T07:52:00+00:00,2026-08-01T07:52:00+00:00,0.0,24.20259,82.70964,24.20259,82.70964,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
30,1,1,2026-08-01T08:37:00+00:00,2026-08-01T08:37:00+00:00,0.0,10.93222,78.44296,10.93222,78.44296,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
31,1,1,2026-08-01T08:37:00+00:00,2026-08-01T08:37:00+00:00,0.0,11.21864,78.20132,11.21864,78.20132,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
32,1,1,2026-08-01T08:37:00+00:00,2026-08-01T08:37:00+00:00,0.0,11.32136,79.04636,11.32136,79.04636,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
33,1,1,2026-08-01T08:37:00+00:00,2026-08-01T08:37:00+00:00,0.0,11.80317,78.73422,11.80317,78.73422,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
34,1,1,2026-08-01T08:37:00+00:00,2026-08-01T08:37:00+00:00,0.0,11.88981,79.31049,11.88981,79.31049,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
35,2,1,2026-08-01T08:37:00+00:00,2026-08-01T08:37:00+00:00,0.0,11.96006,79.44642,11.96006,79.44642,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
36,2,1,2026-08-01T08:37:00+00:00,2026-08-01T08:37:00+00:00,0.0,12.0519,79.67217,12.0519,79.67217,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
37,1,1,2026-08-01T08:37:00+00:00,2026-08-01T08:37:00+00:00,0.0,12.32935,79.62632,12.32935,79.62632,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
38,1,1,2026-08-01T08:39:00+00:00,2026-08-01T08:39:00+00:00,0.0,27.51347,71.62677,27.51347,71.62677,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
39,19,3,2026-08-01T19:25:00+00:00,2026-08-04T07:41:00+00:00,2.511,20.79426,85.25398,20.79527,85.25335,0.13,0.052,329.83,NW,LOW,STATIONARY,,stationary,INSUFFICIENT,0,False
40,7,3,2026-08-01T19:25:00+00:00,2026-08-03T19:45:00+00:00,2.014,20.86213,84.98734,20.86311,84.99036,0.332,0.165,70.76,E,LOW,STATIONARY,,stationary,INSUFFICIENT,0,False
41,3,1,2026-08-01T19:25:00+00:00,2026-08-01T20:21:00+00:00,0.039,21.33692,78.96837,21.33692,78.96837,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
42,2,1,2026-08-01T19:25:00+00:00,2026-08-01T20:21:00+00:00,0.039,21.6233,81.79381,21.6233,81.79381,0.0,0.0,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,insufficient_evidence,INSUFFICIENT,0,False
